created_at,text,clean-text,location,place
Sat Nov 13 05:03:12 +0000 2021,b'COVID is the biggest killer officers for the past two years. The should get vaccinated https://t.co/6wjGMyk7bi',covid is the biggest killer officers for the past two years the should get vaccinated,"Arizona, USA","Mesa, AZ"
Sat Nov 13 05:06:19 +0000 2021,b'@veda_padma is there any malefic aspect on this state that it is feeling the impact of so many virus outbreaks. The\xe2\x80\xa6 https://t.co/hEqUPpsxHa',is there any malefic aspect on this state that it is feeling the impact of so many virus outbreaks the,"Bengaluru, India","Bengaluru South, India"
Sat Nov 13 05:08:25 +0000 2021,b'Wadanka waxu marayaa xaalad adag ee coronavirus ah.Hadana isbitalka @Mogadishu_EAH ma ilaalinayo sharciyada\xe2\x80\xa6 https://t.co/SJEaEmwFE7',wadanka waxu marayaa xaalad adag ee coronavirus ah hadana isbitalka ma ilaalinayo sharciyada,Somalia,Türkiye Mogadishu Eğitim ve Araştırma Hastanesi
Sat Nov 13 05:07:54 +0000 2021,b'Solidarity in action. https://t.co/phbCvT3Lwq',solidarity in action,Hong Kong,"Kowloon City District, Hong Kong"
Sat Nov 13 05:09:04 +0000 2021,"b'@djsbu Launched in the hectic stages of Covid19, our customers have given us positive responses. We have returning\xe2\x80\xa6 https://t.co/6pDfRGBZyT'",launched in the hectic stages of covid19 our customers have given us positive responses we have returning,"Johannesburg, South Africa","Midrand, South Africa"
Sat Nov 13 05:06:56 +0000 2021,b'I wish we had these videos when I was in school! https://t.co/vYM7BHDSkr',i wish we had these videos when i was in school,"Grand Rapids, MI","Grand Rapids, MI"
Sat Nov 13 05:10:58 +0000 2021,b'i bet they were all vaxed https://t.co/EpzsG2GKHt',i bet they were all vaxed,"Vancouver, British Columbia","Vancouver, British Columbia"
Sat Nov 13 05:09:49 +0000 2021,b'This comment wins #Twitter https://t.co/23C2K5LdFs',this comment wins,"Ontario, Canada","Clarington, Ontario"
Sat Nov 13 05:09:07 +0000 2021,b'Do you really believe yourself.  Look in the mirror your one of Satan minions https://t.co/WWe9VawBXt',do you really believe yourself look in the mirror your one of satan minions,Somewhere in the World ,"North Carolina, USA"
Sat Nov 13 05:12:14 +0000 2021,"b'Of course he did, and then some...\n\nI and @nysenategop have been pushing for a legislative investigation demanding\xe2\x80\xa6 https://t.co/0ICrioIfb4'",of course he did and then some i and have been pushing for a legislative investigation demanding,"Big Flats, NY","Big Flats, NY"
Sat Nov 13 05:15:00 +0000 2021,b'I was pleased they took the time to also note each shot in my international shot card along with the Covid card https://t.co/TQxAHk6VLQ',i was pleased they took the time to also note each shot in my international shot card along with the covid card,AZ,"Fountain Hills, AZ"
Sat Nov 13 05:15:31 +0000 2021,b'My nurse practitioner is very thorough. All notes taken https://t.co/TQxAHk6VLQ',my nurse practitioner is very thorough all notes taken,AZ,"Fountain Hills, AZ"
Sat Nov 13 05:15:00 +0000 2021,"b""even on our youtube channel there's a flood of comments from anti maskers asking to remove the mask. just because y\xe2\x80\xa6 https://t.co/Ha70KcdHeQ""",even on our youtube channel theres a flood of comments from anti maskers asking to remove the mask just because y,"Selangor, Malaysia","Damansara, Selangor"
Sat Nov 13 05:19:16 +0000 2021,b'Now it happens what nobody really wants........ https://t.co/9nEBMlTR3F',now it happens what nobody really wants,"Neuwied, Deutschland","Neuwied, Deutschland"
Sat Nov 13 05:18:40 +0000 2021,b'Remarkable video explaining the Covid-19 vaccine. Everyone should view this asap. https://t.co/MIagTDojRt',remarkable video explaining the covid 19 vaccine everyone should view this asap,"37°55'36.7248'N 78°1'29.6472""W","Virginia, USA"
Sat Nov 13 05:19:55 +0000 2021,"b'COVID19 | India reports 11,850 new cases and 555 deaths in the last 24 hours; Active caseload stands at 1,36,308; l\xe2\x80\xa6 https://t.co/eyxivJ7cgK'",covid19 india reports 11 850 new cases and 555 deaths in the last 24 hours active caseload stands at 1 36 308 l,"Bandipore, Jammu & Kashmir",Jammu & Kashmir
Sat Nov 13 05:21:49 +0000 2021,b'So the government of Brazil is protecting its citizens from being killed through vaccines https://t.co/QUFNFfCYvD',so the government of brazil is protecting its citizens from being killed through vaccines,,"Randburg, South Africa"
Sat Nov 13 05:25:26 +0000 2021,"b'Demonstrators gather in The Hague in the Netherlands, near the ministry where the Prime Minister has just announced\xe2\x80\xa6 https://t.co/Z3r9fG9QGZ'",demonstrators gather in the hague in the netherlands near the ministry where the prime minister has just announced,,"El Puerto de Santa María, Spain"
Sat Nov 13 05:24:08 +0000 2021,b'80% of Deer population in USA has #COVID19 \nThis is alarming news as it can lead to new mutations and variants.\n\nSu\xe2\x80\xa6 https://t.co/LdMUMVyCY6',80 of deer population in usa has this is alarming news as it can lead to new mutations and variants su,Delhi/Pune/Edinburgh,"New Delhi, India"
Sat Nov 13 05:24:14 +0000 2021,b'New Zealand. Hospitalisations increase and more people with covid19 self-isolate at home. https://t.co/zaRLTTIbP2',new zealand hospitalisations increase and more people with covid19 self isolate at home,New Zealand,"Hawke's Bay Region, New Zealand"
Sat Nov 13 05:28:42 +0000 2021,b'@NEGameandParks @NeblandMagazine @DrAndrewLittle @NECFWRU @AWESMLab @LarkinPowell @mduceyOWH @LJSPeterSalter\xe2\x80\xa6 https://t.co/IhZffrTyMs',,"Lincoln, Nebraska, USA","Lincoln, NE"
Sat Nov 13 05:26:03 +0000 2021,"b'Demonstrators gather in The Hague in the Netherlands, near the ministry where the Prime Minister has just announced\xe2\x80\xa6 https://t.co/moo57dWoqD'",demonstrators gather in the hague in the netherlands near the ministry where the prime minister has just announced,,"El Puerto de Santa María, Spain"
Sat Nov 13 05:30:54 +0000 2021,b'Finally done with Covid-19 Vaccine..Pfizer\xf0\x9f\x92\x89 https://t.co/HcIrkgV6Bw',finally done with covid 19 vaccine pfizer,,"Calgary, Alberta"
Sat Nov 13 05:29:49 +0000 2021,b'Of great interest https://t.co/Crvlf4xSFl',of great interest,Mountains of North Carolina ,"Waynesville, NC"
Sat Nov 13 05:32:27 +0000 2021,b'Orders of Financial assistance to family members of victims deceased due to Covid-19 by Mandrem MLA &amp; GTDC Chairman\xe2\x80\xa6 https://t.co/9w9vmQSIMB',orders of financial assistance to family members of victims deceased due to covid 19 by mandrem mla amp gtdc chairman,,"Goa, India"
Sat Nov 13 05:31:38 +0000 2021,b'We are open now...\n#aashaherbals\nBelow\n#GRAVITY #gym \n#Jammu \n#JammuAndKashmir \n#india\nFor #BOOKINGS and\xe2\x80\xa6 https://t.co/wFxzY8RoGT',we are open now below for and,member of this planet.🙏,"New Delhi, India"
Sat Nov 13 05:42:24 +0000 2021,b'Simply amazing \xf0\x9f\x91\x8f \n\n#COVID19 #coronavirus #pandemic #vaccination https://t.co/sEdH4xhDZ8',simply amazing,"Kolhapur, India","Haveli, India"
Sat Nov 13 05:42:35 +0000 2021,"b""Today's local Covid19 situation in #Chonburi.\n\nhttps://t.co/NUWG0DLP5s https://t.co/jsjZZ1kDJv""",todays local covid19 situation in,"Mueang Pattaya, Thailand","Amphoe Bang Lamung, Chon Buri Province"
Sat Nov 13 05:46:35 +0000 2021,"b""\xf0\x9f\x9a\xa8 @DanePineau will miss tonight's #NBLBlitz game due to COVID-19 protocols.\n\n@CammyGliddon will also miss as he con\xe2\x80\xa6 https://t.co/qjsOP7rKRj""",will miss tonights game due to covid 19 protocols will also miss as he con,,"Melbourne, Victoria"
Sat Nov 13 05:50:49 +0000 2021,b'The latest.. \nhttps://t.co/VSQwCJaIO0',the latest,,"Brampton, Ontario"
Sat Nov 13 05:50:48 +0000 2021,b'Orders of Financial assistance to family members of victims deceased due to Covid-19 in the presence of Mandrem Man\xe2\x80\xa6 https://t.co/8cBQTBmF8W',orders of financial assistance to family members of victims deceased due to covid 19 in the presence of mandrem man,"Goa, India","Goa, India"
Sat Nov 13 05:50:44 +0000 2021,b'Follow these hone remedies and get relief from cold and cough.\n#coldandcough #coughtreatment #homeremedies\xe2\x80\xa6 https://t.co/fw90DQk0QV',follow these hone remedies and get relief from cold and cough,"New Delhi, India","New Delhi, India"
Sat Nov 13 05:52:41 +0000 2021,"b'Ask any question. 7 year Leiomyosarcoma warrior.Had 2 limb salvage surgeries,above knee amputation December 2020. S\xe2\x80\xa6 https://t.co/5gfeiZEIqv'",ask any question 7 year leiomyosarcoma warrior had 2 limb salvage surgeries above knee amputation december 2020 s,Richie McPeak,"Forest City, FL"
Sat Nov 13 05:53:45 +0000 2021,"b'JUST IN: project madad, a voluntary group of indian and indian diaspora doctors and professionals, inaugurated indi\xe2\x80\xa6 https://t.co/vI3AorUjJA'",just in project madad a voluntary group of indian and indian diaspora doctors and professionals inaugurated indi,Ranchi | Bangalore,"Ranchi, India"
Sat Nov 13 05:56:05 +0000 2021,"b""The cosmic energy is too much for the vaseline, that's why they come up with dumb as lies to destroy humanity. They\xe2\x80\xa6 https://t.co/pYgwKF3KOe""",the cosmic energy is too much for the vaseline thats why they come up with dumb as lies to destroy humanity they,Emanzini naseNtabeni,"Soweto, South Africa"
Sat Nov 13 05:54:24 +0000 2021,"b'Well, maybe the @Broncos offense will perform better on Sunday vs. the @Eagles. #FireShurmur #BroncosCountry\xe2\x80\xa6 https://t.co/wlccw8Vnzr'",well maybe the offense will perform better on sunday vs the,,"Blackfoot, ID"
Sat Nov 13 05:54:50 +0000 2021,"b'@ElijahSchaffer Yes.Severe case 7/2020,treated with Dexa,Azithromycin, antivirals.Dr\xe2\x80\x99s, Nurses said take Zinc,D, C,\xe2\x80\xa6 https://t.co/jegljelBfh'",yes severe case 7 2020 treated with dexa azithromycin antivirals dr s nurses said take zinc d c,Richie McPeak,"Forest City, FL"
Sat Nov 13 05:55:56 +0000 2021,b'The Co-op spirit \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/5d5C52fzk9',the co op spirit,"Maganjo, Wakiso, Uganda","Kampala, Uganda"
Sat Nov 13 05:56:28 +0000 2021,b'This was not the day for this.  Any of you anti-vaxxer fucking nutcases want to defend this just fuck off.\n\nRemembr\xe2\x80\xa6 https://t.co/QgTgxkr1Nx',this was not the day for this any of you anti vaxxer fucking nutcases want to defend this just fuck off remembr,Sudbury ON,"Greater Sudbury / Grand Sudbury, Ontario"
Sat Nov 13 05:58:36 +0000 2021,"b'#IndiasClimateLeadership\nWEF president Borge Brende has lauded the Modi government\'s ""agile response to the COVID-1\xe2\x80\xa6 https://t.co/FTEPHin4Vt'",wef president borge brende has lauded the modi governments agile response to the covid 1,,"Junagad, India"
Sat Nov 13 05:57:02 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/GhFiu1vz3N""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,Ambika ni ketan,"Surat, India"
Sat Nov 13 06:00:12 +0000 2021,"b'@RepThomasMassie Your question is dumb, dangerous, but very very Republican\xe2\x80\x94\n\nHere\xe2\x80\x99s the scientific answer: \n\nPeopl\xe2\x80\xa6 https://t.co/gq9eejsbv6'",your question is dumb dangerous but very very republican here s the scientific answer peopl,,"California, USA"
Sat Nov 13 06:02:26 +0000 2021,"b'@kezia_noble Yes.Severe case 7/2020,treated with Dexa,Azithromycin, antivirals.Dr\xe2\x80\x99s, Nurses said take Zinc,D, C, wh\xe2\x80\xa6 https://t.co/fEQIopYQXV'",yes severe case 7 2020 treated with dexa azithromycin antivirals dr s nurses said take zinc d c wh,Richie McPeak,"Forest City, FL"
Sat Nov 13 06:04:31 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/iIZId3gofO""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,"Sylhet, Bangladesh","Chittagong, Bangladesh"
Sat Nov 13 06:10:51 +0000 2021,b'Just a few reasons to get children vaccinated against COVID-19\xe2\x80\xa6\n\nScience supports it\xe2\x80\x99s efficacy and experience tell\xe2\x80\xa6 https://t.co/Kcj45lG8tQ',just a few reasons to get children vaccinated against covid 19 science supports it s efficacy and experience tell,"Los Angeles, CA","Los Angeles, CA"
Sat Nov 13 06:13:26 +0000 2021,b'You know what? As long as they get vaxxed. I am so over their foolishness \xf0\x9f\x92\x81 https://t.co/B5NemxefQ2',you know what as long as they get vaxxed i am so over their foolishness,"Bronx, NY","Bronx, NY"
Sat Nov 13 06:12:22 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/Lz1VoSieVB""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,"Samalkha Village Kapas Hera, New Delhi","New Delhi, India"
Sat Nov 13 06:11:22 +0000 2021,"b'Arizona reports over 4,000 new COVID-19 cases while hospital numbers dip https://t.co/aYifypXZX4'",arizona reports over 4 000 new covid 19 cases while hospital numbers dip,"Phoenix, AZ","Phoenix, AZ"
Sat Nov 13 06:12:14 +0000 2021,"b""WOW, an insider's look into how tRumpVid vaccines work inside our bodies! Perfect science info. \n\n   Watch,retweet,\xe2\x80\xa6 https://t.co/LVmHogjIgb""",wow an insiders look into how trumpvid vaccines work inside our bodies perfect science info watch retweet,"Issaquah, WA","Issaquah, WA"
Sat Nov 13 06:14:04 +0000 2021,b'SA is gonna copy them \xf0\x9f\x99\x86\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/DkaGNIEnKe',sa is gonna copy them,Durban/Johannesburg,"Randburg, South Africa"
Sat Nov 13 06:17:03 +0000 2021,b'Yikes! \xf0\x9f\x98\x9e https://t.co/eHlbS1g6ki',yikes,high on a riverbed,"Bradley, ME"
Sat Nov 13 06:20:44 +0000 2021,b'@LadyBB85125431 @GuitarWorld You lie\xe2\x80\x94\n\nSalk vaccine trials lasted ONE YEAR\n\nFDA approved both Salk and COVID vaccin\xe2\x80\xa6 https://t.co/9liPDR4oUK',you lie salk vaccine trials lasted one year fda approved both salk and covid vaccin,,"California, USA"
Sat Nov 13 06:24:39 +0000 2021,b'Visit your nearest vaccination site to get your #COVID19 jab this #VoomaWeekend to keep the holiday season on track! https://t.co/IoSngd1y6c',visit your nearest vaccination site to get your jab this to keep the holiday season on track,South Africa- Gauteng,"Pretoria, South Africa"
Sat Nov 13 06:22:47 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/PCDymB3dus""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,Thirupor,"Tiruppur, India"
Sat Nov 13 06:27:37 +0000 2021,"b'@CogitoE72901399 @sarahraingirl @RepThomasMassie \xe2\x80\xa6lamentably, the toxic ignorance in this Tweet is unfathomable\xe2\x80\x94\n\nF\xe2\x80\xa6 https://t.co/gNrbGMnguZ'",lamentably the toxic ignorance in this tweet is unfathomable f,,"California, USA"
Sat Nov 13 06:28:36 +0000 2021,"b'.Victorian #covid19 hospitalisations are coming down due to the right way of treating people, not the lunatic deran\xe2\x80\xa6 https://t.co/BfHJ15TDZH'",victorian hospitalisations are coming down due to the right way of treating people not the lunatic deran,"Taradale, Victoria","Victoria, Australia"
Sat Nov 13 06:30:59 +0000 2021,b'NZ\xe2\x80\x99s largest trading partner https://t.co/w30O26y1Y7',nz s largest trading partner,"London, U.K.","Auckland, New Zealand"
Sat Nov 13 06:31:07 +0000 2021,"b'""A Confederacy of dunces"" reads better, but this article is\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/VXAECMFF8X'",a confederacy of dunces reads better but this article is,敦賀市,"Victoria, British Columbia"
Sat Nov 13 06:29:26 +0000 2021,b'you guys said this would be over in 2 weeks 2 years ago now your cancel christmas with 80% so called vaxed go fuck\xe2\x80\xa6 https://t.co/nGNsqbI6tI',you guys said this would be over in 2 weeks 2 years ago now your cancel christmas with 80 so called vaxed go fuck,"Vancouver, British Columbia","Vancouver, British Columbia"
Sat Nov 13 06:34:35 +0000 2021,b'Documents reveal new details of Trump political interference in COVID-19 response https://t.co/3tl2LeEYJ1',documents reveal new details of trump political interference in covid 19 response,Portland,"Portland, OR"
Sat Nov 13 06:33:38 +0000 2021,"b'Erebus Chan\nG20\xe6\x9c\x9f\xe9\x96\x93, \xe5\xb7\xb4\xe8\xa5\xbf\xe7\xb8\xbd\xe7\xb5\xb1\xe8\x88\x87WHO \xe9\xa0\xad\xe7\x9b\xae\xe5\xb0\x8d\xe8\xa9\xb1, \xe5\xb7\xb4\xe8\xa5\xbf\xe7\xb8\xbd\xe7\xb5\xb1\xf0\x9f\x91\x8d\n//Brazilian President Jair Bolsonaro Confronting Who Head Tedros Adhanom Ab\xe2\x80\xa6 https://t.co/seW5rqiwZv'",erebus chan g20 who brazilian president jair bolsonaro confronting who head tedros adhanom ab,Manokwari,"West Papua, Indonesia"
Sat Nov 13 06:36:21 +0000 2021,"b'If you are 12 years  or older, bring your birth certificate, ID or any form of identification to any vaccination si\xe2\x80\xa6 https://t.co/jKWCZYekOX'",if you are 12 years or older bring your birth certificate id or any form of identification to any vaccination si,South Africa- Gauteng,"Pretoria, South Africa"
Sat Nov 13 06:35:06 +0000 2021,"b'mY BoDY, mY Ch0iCe https://t.co/ZGSoVncng9'",my body my ch0ice,Naarm  (Melbourne) ,"Melbourne, Victoria"
Sat Nov 13 06:37:21 +0000 2021,b'Covid-19 is cooking \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #amirloveheaven #pakcikkaumasihmuda #pakcikkaumasihsingle #atokkaumasihsingle\xe2\x80\xa6 https://t.co/5ac2RTFZcQ',covid 19 is cooking,"Selangor, Malaysia","Rawang, Selangor"
Sat Nov 13 06:43:50 +0000 2021,b'Three more Covid-19 cases reported tonight in Taup\xc5\x8d. Two are household contacts and one is a close contact of today\xe2\x80\xa6 https://t.co/I81TQRf1nk',three more covid 19 cases reported tonight in taup two are household contacts and one is a close contact of today,"Auckland, New Zealand","Auckland, New Zealand"
Sat Nov 13 06:43:02 +0000 2021,b'@ndues_boy I was hoping to visit kwa Bulawayo suddenly Covid19 attacked us',i was hoping to visit kwa bulawayo suddenly covid19 attacked us,Mzansi 🇿🇦,"Pinetown, South Africa"
Sat Nov 13 06:49:11 +0000 2021,b'Do not comply!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5 https://t.co/u83Dd5tOzf',do not comply,"Dallas, TX","Texas, USA"
Sat Nov 13 06:47:18 +0000 2021,b'Breathing  air with #AQI  at 515 in #noida - what do I tell my daughter in #canada who is so worried for my #health\xe2\x80\xa6 https://t.co/HW9CiJ1Z6s',breathing air with at 515 in what do i tell my daughter in who is so worried for my,"New Delhi, India","Noida, India"
Sat Nov 13 06:49:25 +0000 2021,"b'@DiePenisDeMilo Yes, it is impossible to control. I think that stricter use of coronapass to resraurants, theatres,\xe2\x80\xa6 https://t.co/rU31NTBPXB'",yes it is impossible to control i think that stricter use of coronapass to resraurants theatres,"Helsinki, Finland","Helsinki, Finland"
Sat Nov 13 06:52:32 +0000 2021,b'Unvaccinated Staff? https://t.co/bdw0UjutTe',unvaccinated staff,Planet Earth ,"Nelson, British Columbia"
Sat Nov 13 06:56:58 +0000 2021,"b""Yes they get sick by choice. I've been double vaxxed however I can still get sick from them. If they want medical c\xe2\x80\xa6 https://t.co/nFSSfdWCLD""",yes they get sick by choice ive been double vaxxed however i can still get sick from them if they want medical c,Brisbane Qld,"Brisbane, Queensland"
Sat Nov 13 06:56:43 +0000 2021,b'My 47th COVID-19 test!!! (@ Beijing Shangdi Hospital) https://t.co/s7VcZUWKJX https://t.co/GsFtVase2q',my 47th covid 19 test beijing shangdi hospital,"San Diego, CA","Beijing, People's Republic of China"
Sat Nov 13 07:00:05 +0000 2021,b'A 17 year old speaking out against the  Pandemic Bill at the Melbourne protest today - no doubt a future leader!!\xe2\x80\xa6 https://t.co/RIjTqQNzqf',a 17 year old speaking out against the pandemic bill at the melbourne protest today no doubt a future leader,,"Melbourne, Victoria"
Sat Nov 13 07:00:15 +0000 2021,b'Denounce racist attacks on Asian-Australians. #UnityOverFear during Covid-19 - Sign the Petition! https://t.co/PAvVTLK4rt via @Change',denounce racist attacks on asian australians during covid 19 sign the petition via,"Las Vegas, NV","North Las Vegas, NV"
Sat Nov 13 07:01:28 +0000 2021,b'Y\xe2\x80\x99all trying too hard nhe https://t.co/UDlfCQaDzk',y all trying too hard nhe,"Port Elizabeth, South Africa","Stellenbosch, South Africa"
Sat Nov 13 07:00:22 +0000 2021,"b'Your old attachment with City, as DM https://t.co/b1b74HurE2'",your old attachment with city as dm,,"New Delhi, India"
Sat Nov 13 07:00:33 +0000 2021,b'RETWEET #Covid https://t.co/r0S9OtUPX1',retweet,Israel,Israel
Sat Nov 13 07:02:20 +0000 2021,b'What are you waiting for? Go and get vaccinated this #VoomaWeekend\n#COVID19 https://t.co/UhEXRlEmOv',what are you waiting for go and get vaccinated this,South Africa- Gauteng,"Pretoria, South Africa"
Sat Nov 13 07:02:39 +0000 2021,"b'#IndiasClimateLeadership\nWEF president Borge Brende has lauded the Modi government\'s ""agile response to the COVID-1\xe2\x80\xa6 https://t.co/iDZ8ZQqdke'",wef president borge brende has lauded the modi governments agile response to the covid 1,"Mayur Vihar, New Delhi","Noida, India"
Sat Nov 13 07:00:56 +0000 2021,b'Omg\xe2\x80\xa6 a think???!!!! Damn. \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xac https://t.co/TR98KuMkG3',omg a think damn,Black Universe,"Dallas, TX"
Sat Nov 13 07:01:49 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/lsPzQs1vwk""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,"Valsad, India","Valsad, India"
Sat Nov 13 07:05:26 +0000 2021,b'If this it what it takes to get people vaccinated then maybe we just go along with it. https://t.co/3sOMU2qKOm',if this it what it takes to get people vaccinated then maybe we just go along with it,"New Jersey, USA","Laurence Harbor, NJ"
Sat Nov 13 07:03:45 +0000 2021,b'Focus on full #vaccinationdrive: On #India\xe2\x80\x99s #COVID19 inoculation pace https://t.co/RNPPMMAtPE',focus on full on s inoculation pace,"Delhi, India","New Delhi, India"
Sat Nov 13 07:03:23 +0000 2021,"b""I think that kids with underlying health health conditions deserve to survive the pandemic.\n\nThat's now a political\xe2\x80\xa6 https://t.co/h2CPrxcmTg""",i think that kids with underlying health health conditions deserve to survive the pandemic thats now a political,London,"Dartford, South East"
Sat Nov 13 07:06:02 +0000 2021,b'Mins away from moderating a session with #medicolegal experts on #consent for #COVID19 #vaccination',mins away from moderating a session with experts on for,kuala lumpur,"George Town, Pinang"
Sat Nov 13 07:09:06 +0000 2021,"b'Open SmartNews and read ""Coronavirus Update NYC: More than 50,000 5-11-year-olds get COVID shots in first week of e\xe2\x80\xa6 https://t.co/904buA8fv4'",open smartnews and read coronavirus update nyc more than 50 000 5 11 year olds get covid shots in first week of e,"Washington, DC.","Silver Spring, MD"
Sat Nov 13 07:09:41 +0000 2021,"b'Open SmartNews and read ""Coronavirus Update NYC: More than 50,000 5-11-year-olds get COVID shots in first week of e\xe2\x80\xa6 https://t.co/KRHqOJYry8'",open smartnews and read coronavirus update nyc more than 50 000 5 11 year olds get covid shots in first week of e,"Washington, DC.","Silver Spring, MD"
Sat Nov 13 07:12:07 +0000 2021,"b'rising business profits\n:example-screen shot below 13,11,21 GermanNews24\n:every week we readers read huge-profits,C\xe2\x80\xa6 https://t.co/tBlquVuUhl'",rising business profits example screen shot below 13 11 21 germannews24 every week we readers read huge profits c,,"Punjab, Pakistan"
Sat Nov 13 07:13:40 +0000 2021,b'@DefenseBaron Mar 10 2020 \xe2\x80\x93 A Scientific Look at Botanical Plants and Supplements Against Coronavirus\nhttps://t.co/EIWKTXCpF2',mar 10 2020 a scientific look at botanical plants and supplements against coronavirus,Manhattan ,"Manhattan, NY"
Sat Nov 13 07:12:21 +0000 2021,"b'@conal_tuohy @timand2037 Most probably, yes. But in Tanzania as in almost all countries in the world, COVID-19 has\xe2\x80\xa6 https://t.co/YVrtRvcN4j'",most probably yes but in tanzania as in almost all countries in the world covid 19 has,"Dalfsen, Netherlands","Midrand, South Africa"
Sat Nov 13 07:14:47 +0000 2021,b'Me nostrils will be raw at this stage! I\xe2\x80\x99m actually worn out from all the mix messages lately \xf0\x9f\x98\xa9 https://t.co/OTlkSh3qui',me nostrils will be raw at this stage i m actually worn out from all the mix messages lately,Dublin,"Dublin City, Ireland"
Sat Nov 13 07:14:38 +0000 2021,b'Interesting blood types around the world. https://t.co/11FBQ6DBZ6',interesting blood types around the world,Hong Kong,"Wong Tai Sin District, Hong Kong"
Sat Nov 13 07:17:31 +0000 2021,b'Join EraseMS TOMORROW for a discussion with prominent &amp; leading MS research scientists from Center Without Walls pr\xe2\x80\xa6 https://t.co/ylUCWj0ROe',join erasems tomorrow for a discussion with prominent amp leading ms research scientists from center without walls pr,"Ladera Ranch, CA","Ladera Ranch, CA"
Sat Nov 13 07:20:14 +0000 2021,"b'If you decide to have a gathering, consider using an outdoor space.\n#COVID19\n#COVID19Vaccination\n#VaccinesSaveLives\xe2\x80\xa6 https://t.co/MVxHtOeQ06'",if you decide to have a gathering consider using an outdoor space,South Africa- Gauteng,"Pretoria, South Africa"
Sat Nov 13 07:24:52 +0000 2021,b'Oh dear not what we wanted to hear... https://t.co/rQ6sJazv0z',oh dear not what we wanted to hear,"Masterton District, New Zealan","Masterton District, New Zealand"
Sat Nov 13 07:26:04 +0000 2021,"b""Nearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/2tMh31NRcU""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,"Ludhiana, Permanently JAMMU. ","Jammu, Jammu & Kashmir, India"
Sat Nov 13 07:29:32 +0000 2021,"b""Pedro Angon sent me a snapchat video of me working Instacart yesterday.   I don't know how to save that video so I\xe2\x80\xa6 https://t.co/24NSN9gDjr""",pedro angon sent me a snapchat video of me working instacart yesterday i dont know how to save that video so i,,"El Monte, CA"
Sat Nov 13 07:32:38 +0000 2021,b'Not exactly sure how public restrooms facilitate the spread of #COVID19. #COVIDisAirborne https://t.co/ci58msjPtX',not exactly sure how public restrooms facilitate the spread of,Lenapehoking,MTA Subway - Atlantic Ave/Barclays Center (B/D/N/Q/R/2/3/4/5)
Sat Nov 13 07:30:33 +0000 2021,b'Outstanding!\n\n(though the second tweet also makes an important point) https://t.co/rGoEw8vVzB',outstanding though the second tweet also makes an important point,"Mumbai, India","Mumbai, India"
Sat Nov 13 07:32:03 +0000 2021,b'Beverley Market this morning handing out LFT tests in support of @East_Riding commitment to fighting the spread of\xe2\x80\xa6 https://t.co/zA3mYbRPDc',beverley market this morning handing out lft tests in support of commitment to fighting the spread of,humberside airport,"Yorkshire and The Humber, England"
Sat Nov 13 07:32:09 +0000 2021,"b'#lockdown is trending again\nWhen I saw the word #lockdown is trending,aadi jaan dekh ke Nikal gayi...\nBut after see\xe2\x80\xa6 https://t.co/GiEpk341Dm'",is trending again when i saw the word is trending aadi jaan dekh ke nikal gayi but after see,Mumbai,"Mumbai, India"
Sat Nov 13 07:35:37 +0000 2021,b'What is tik tok teaching y\xe2\x80\x99all \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/3TA7J8joMJ',what is tik tok teaching y all,"North Carolina, USA","North Carolina, USA"
