created_at,text,clean-text,location,place
Sat Nov 13 12:23:38 +0000 2021,"b'#COVID19 Faridabad, Haryana, IN Update:\n\nTotal Cases - 99915\nNew Cases Today - 3\nCases Discharged/Recovered Today -\xe2\x80\xa6 https://t.co/kCoWDbvSNl'",faridabad haryana in update total cases 99915 new cases today 3 cases discharged recovered today,"फरीदाबाद, भारत","Faridabad, India"
Sat Nov 13 12:26:51 +0000 2021,b'700+ cases today? https://t.co/5nI0qcAd4Y',700 cases today,"Colombo, Sri Lanka",Sri Lanka
Sat Nov 13 12:25:36 +0000 2021,"b'@jamesp1987 @mattletiss7 Hope your son gets well soon, but he has coronavirus not covid. The test is for the virus, not the disease.'",hope your son gets well soon but he has coronavirus not covid the test is for the virus not the disease,Sheffield ,"Sheffield, England"
Sat Nov 13 12:26:01 +0000 2021,b'Seth McFarlane for life https://t.co/YtuIrZeAHG',seth mcfarlane for life,,"Bristol, RI"
Sat Nov 13 12:25:34 +0000 2021,b'Unvaccinated persons comprise the majority of COVID-19 during Delta surge.\n\xc2\xa0\nBreakthrough COVID-19 occurred among v\xe2\x80\xa6 https://t.co/f5ByjteGOv',unvaccinated persons comprise the majority of covid 19 during delta surge breakthrough covid 19 occurred among v,"Rochester, MN, United States",Mayo Clinic
Sat Nov 13 12:28:38 +0000 2021,b'Lordy. https://t.co/FaX6xuejmN',lordy,"Portland, Oregon","Washington, USA"
Sat Nov 13 12:29:21 +0000 2021,"b'Yesterday, I hosted Her Excellency VP @jessica_alupo as I shared with her and our good Minister @JaneRuth_Aceng wha\xe2\x80\xa6 https://t.co/s94VKzFzkP'",yesterday i hosted her excellency vp as i shared with her and our good minister wha,Uganda,"Kampala, Uganda"
Sat Nov 13 12:28:58 +0000 2021,b'Super Video https://t.co/iJJ6tAFNT8',super video,,"Oberhausen, Deutschland"
Sat Nov 13 12:27:45 +0000 2021,b'About the benefits of getting vaccinated https://t.co/Yg0E3BMPKU',about the benefits of getting vaccinated,"Porto, Portugal","Celorico de Basto, Portugal"
Sat Nov 13 12:37:17 +0000 2021,b'YHA is also out in Ekhuruleni this #VoomaVaccinationWeekend supporting the initiative to bring vaccines to communit\xe2\x80\xa6 https://t.co/0sb03ME3lM',yha is also out in ekhuruleni this supporting the initiative to bring vaccines to communit,South Africa,"Dukathole, South Africa"
Sat Nov 13 12:38:10 +0000 2021,"b""Yes! We'll done...\n#Nbpoli \n@premierbhiggs\n@Jan70534353 https://t.co/NgaEQaFCmE""",yes well done,Canada,"Devon 30, New Brunswick"
Sat Nov 13 12:36:36 +0000 2021,b'CEC @tashi_gyalson reviews #COVID19 situation in #Leh.\n\nDistrict Administration to impose strict #CovidProtocols to\xe2\x80\xa6 https://t.co/tpjlmf7WUN',cec reviews situation in district administration to impose strict to,Leh,"Leh, Union Territory of Ladakh, India"
Sat Nov 13 12:36:21 +0000 2021,b'Expensive divorce prompts re-examination of personal morality? https://t.co/h7h9LrRykp',expensive divorce prompts re examination of personal morality,"Oxford, Oxfordshire","Oxford, England"
Sat Nov 13 12:40:55 +0000 2021,b'So are we admitting now the vaccines arnt great or wats the crack?\n#COVID19',so are we admitting now the vaccines arnt great or wats the crack,Dublin,"Kildare, Ireland"
Sat Nov 13 12:47:16 +0000 2021,"b'James C. Smith, a Pfizer Board Member, was President, Chief Executive Officer (CEO) and Director of Thomson Reuters\xe2\x80\xa6 https://t.co/tgkoijPyAS'",james c smith a pfizer board member was president chief executive officer ceo and director of thomson reuters,"Stoughton, MA","Stoughton, MA"
Sat Nov 13 12:47:09 +0000 2021,b'Never ceases to amaze me that the doctors with the most bizarre and incorrect views on COVID-19 vaccines and COVID-\xe2\x80\xa6 https://t.co/STKG8zpaQm',never ceases to amaze me that the doctors with the most bizarre and incorrect views on covid 19 vaccines and covid,,"Baltimore, MD"
Sat Nov 13 12:46:30 +0000 2021,b'PLUG &amp; PLAY \xf0\x9f\x8e\xa7 Underground DJ/KJ \xf0\x9f\x95\x8a\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb7\xf0\x9f\x8f\xbc https://t.co/6Yl5G4JHxk ALL DAY EVERY DAY \xf0\x9f\x92\x9b ALL NIGHT EVERY NIGHT \xf0\x9f\x96\xa4 How have y\xe2\x80\xa6 https://t.co/enIKwKMI8A',plug amp play underground dj kj all day every day all night every night how have y,,"Austin, TX"
Sat Nov 13 12:48:16 +0000 2021,b'The cost of #COVID19 treatment for one day. Please get #vaccinated https://t.co/gN6JIyFzFX',the cost of treatment for one day please get,United Kingdom,"Glasgow, Scotland"
Sat Nov 13 12:47:51 +0000 2021,b'Unvaccinated persons comprise the majority of COVID-19 during Delta surge.\n\nRecommendation:\nGet the covid-19 vaccine!',unvaccinated persons comprise the majority of covid 19 during delta surge recommendation get the covid 19 vaccine,"Rochester, MN, United States",Mayo Clinic
Sat Nov 13 12:47:51 +0000 2021,"b""@capseyes_cappy @MollyJongFast Am I getting false info? You can still catch and spread COVID-19 even if you're vaccinated? Right?""",am i getting false info you can still catch and spread covid 19 even if youre vaccinated right,,"Newton, NC"
Sat Nov 13 12:48:31 +0000 2021,b'Breakthrough COVID-19 occurred among vaccinated persons with high-risk medical comorbidities.\n\nRecommendation:\nMask\xe2\x80\xa6 https://t.co/xRPHNSXou2',breakthrough covid 19 occurred among vaccinated persons with high risk medical comorbidities recommendation mask,"Rochester, MN, United States",Mayo Clinic
Sat Nov 13 12:47:47 +0000 2021,b'Russia reports record daily COVID-19 deaths https://t.co/nYZGUSf2Pb',russia reports record daily covid 19 deaths,"Story County, Iowa","Ames, IA"
Sat Nov 13 12:49:04 +0000 2021,b'#COVID19 #boosterdose done!\nThanks to @OttawaHospital for making this available to us at work! https://t.co/jp9Ko96zyu',done thanks to for making this available to us at work,"Ottawa, Ontario",Ottawa Hospital - Civic Campus
Sat Nov 13 12:49:00 +0000 2021,b'See this!!? https://t.co/MksGswdAQx',see this,"Wisconsin, USA","Wausau, WI"
Sat Nov 13 12:47:59 +0000 2021,b'@pfizer If they are authorized to prevent COVID-19 then they have failed miserably.  There are now more vaxxed peop\xe2\x80\xa6 https://t.co/loItY7VCFG',if they are authorized to prevent covid 19 then they have failed miserably there are now more vaxxed peop,"South Lanarkshire, U.K.","Coalburn, Scotland"
Sat Nov 13 12:49:51 +0000 2021,"b'Starting today, @BrdgstoneArena will no longer require proof of COVID-19 vaccination or a negative test at\xe2\x80\xa6 https://t.co/BfuIzOFkJg'",starting today will no longer require proof of covid 19 vaccination or a negative test at,"Nashville, TN",Bridgestone Arena
Sat Nov 13 12:51:10 +0000 2021,"b'the test. Negative. Vaccines and masks work. They work. The person I was in contact with is doing fine, I\xe2\x80\x99m glad to\xe2\x80\xa6 https://t.co/WSxM4lh2xV'",the test negative vaccines and masks work they work the person i was in contact with is doing fine i m glad to,,"St Louis, MO"
Sat Nov 13 12:49:53 +0000 2021,b'Casirivimab-imdevimab\xc2\xa0was associated with lower rates of hospitalization.\n\nRecommendation:\nIf with COVID-19 symptom\xe2\x80\xa6 https://t.co/IYeXdWrEGp',casirivimab imdevimab was associated with lower rates of hospitalization recommendation if with covid 19 symptom,"Rochester, MN, United States",Mayo Clinic
Sat Nov 13 12:49:58 +0000 2021,"b'This country\xe2\x80\x99s approach to covid is more than a bit mad. I\xe2\x80\x99m in a queue awaiting a booster shot, some here for thei\xe2\x80\xa6 https://t.co/erWCjXGwCG'",this country s approach to covid is more than a bit mad i m in a queue awaiting a booster shot some here for thei,"Hackney, London","Hackney, London"
Sat Nov 13 12:53:25 +0000 2021,"b""Flights/Passengers movement at #AAI's #BhavnagarAirport as on 12.11.2021\nNo. of ARR Flights: 03\nNo. of DEP Flights:\xe2\x80\xa6 https://t.co/WVbgARf3RY""",flights passengers movement at as on 12 11 2021 no of arr flights 03 no of dep flights,"Bhavnagar, India","Bhavnagar, India"
Sat Nov 13 12:53:52 +0000 2021,b'The new Covid-19 legal case that South African workers should know about https://t.co/TN1cwvqY6M via @businesstechSA',the new covid 19 legal case that south african workers should know about via,,"Randburg, South Africa"
Sat Nov 13 12:56:30 +0000 2021,b'#trumpkilledpeopleintentionally  just like #Regan #Aids both are responsible for deaths due to #politicalpoints bot\xe2\x80\xa6 https://t.co/t338gt0eAM',just like both are responsible for deaths due to bot,,"New Orleans, LA"
Sat Nov 13 12:55:45 +0000 2021,b'Non anti-vaxxers\xe2\x80\xa6 please update your cvs\xf0\x9f\xa4\xad\xf0\x9f\xa4\xad https://t.co/SFg8lTBG7P',non anti vaxxers please update your cvs,"Pretoria, South Africa","Pretoria, South Africa"
Sat Nov 13 12:54:56 +0000 2021,b'Any chance of asking them to compensate us for unleashing COVID-19 on the World while your at it? https://t.co/WfKuKIZcdQ',any chance of asking them to compensate us for unleashing covid 19 on the world while your at it,"Llanfair Pwllgwyngyll, Wales","Llanfair Pwllgwyngyll, Wales"
Sat Nov 13 12:54:59 +0000 2021,b'Y\xe2\x80\x99all saying only 6 like 1 isn\xe2\x80\x99t too many https://t.co/ScGJivnDJ3',y all saying only 6 like 1 isn t too many,In ya nigga DMs goin bonkers ,"Paterson, NJ"
Sat Nov 13 12:56:38 +0000 2021,b'Excellent thread on where #Covid May go next. #COVID19 https://t.co/5AaB0pWiHG',excellent thread on where may go next,United Kingdom,"Glasgow, Scotland"
