id,location
974355667673911297,South Africa
1245726966625587200,quantum field
1284297869927702528,United States
52737322,"Milan, Italy"
819577287788154881,"Toronto, Ontario"
4063301421,"Chicago, IL"
1234555169645498368,Nashville
1666932853,"Las Cruces, NM"
36640869,"Marquette, MI"
148405713,"Kolkata, India"
316542703,The Netherlands
1124428471269249024,"Virginia, USA"
40850073,"Windsor, Ontario, Canada"
860654500431880192,"Las Vegas, NV"
859034240,"Council Bluffs, IA"
2892501173,"Dublin, Ireland"
879637374,"Seattle, WA"
1250175123774230530,"Toms River, NJ"
619125643,"New York, USA"
734737741829705728,Ciudad de Manila
1435374076730634241,Indonesia
1156023866,Canada
4890933121,"Las Vegas, NV"
82510657,United States 
783496523560521728,"Hollywood, Los Angeles"
865579550499000320,ประเทศไทย
763864100346605570,"Newport Beach, CA (org. NYC)"
585028989,United States
1316188595783372801,read cataclysm by blue000jay
209570874,"55 Dean Street, Soho, London"
2158564604,"Melbourne, Victoria"
599762945,"Minnesota, USA"
62853784,Somewhere in space. No DMs.
85793802,Maldives
1874505086,Brazil
34742160,Ireland
749515428,"Calgary, Alberta Canada"
584280380,Wisconsin-boo
763157770027794432,New England
983307226902216705,Fiji
1376284074742927361,"Los Angeles, CA"
30243334,"Portland, OR, Cascadia"
360994615,Bay Area & San Francisco
803097283675897856,𝔏𝔬𝔰 𝔄𝔫𝔤𝔢𝔩𝔢𝔰
1112809070560464896,Wales/Victoria BC/WV-By God
51543823,Florida Panhandle
84476502,Catchmeifyoucan
54258668,"San Diego, Ca"
1159051339747381249,Australia
794904130477297664,"Amravati, India"
1272706401220132864,"Salt Lake City, UT"
15824998,United States of America
2942795488,"Oakland, CA"
1365522607185956870,USA
1136282437103656960,"kanyakumari, India"
3292301876,"New South Wales, Australia"
246340419,"Mattoon,IL USA"
228830074,At the Center of my Universe
1402751938505105417,"Gun Barrel City, TX"
395087470,Singapore
1238191614092292097,Germany
1431431600588279808,sa litter box ni lisa🦾
1408156002604793861,"Toronto, Ontario"
1031700179987116033,she/they/he
1173297075364225025,"Atlanta, Georgia "
3219837296,"California, USA"
911232762211913728,"Atlanta, GA"
48219360,"Wichita, Kansas"
826823477600583680,Michigan
2568637741,"Katherine, Northern Territory"
1338075703242153984,bharat ki rajdhani
275420026,Philadelphia
17624653,"Lima, Peru"
261907354,"Christchurch, NZ"
341180845,"Tacoma, WA"
579777206,Australia
2792624479,"Alberta, Canada"
2334232885,Header by @andavs/andavs.tumblr.com
1079417394823491585,Sector 001
183036873,"Maui, Hawaii"
825922405453402115,Global 🌎🏝🌏✈
994802175766351873,asia
990824905607270400,"Victoria, Australia"
3222725309,Right here
463566009,Highway to hell
977163716927066114,"Boardman, OH"
4907150336,"San Antonio, TX"
1286712370933293057,1.5K ON YOUTUBE 📺
19156379,"Thunder Bay, Ontario, Canada"
809177267595341824,"Minnesota, USA"
120282127,UNAM Mexico ICN&C3 Unam
175428683,Hamilton Ontario
1294725368474152961,South Africa 
1170062739882070016,"Florida, USA"
1338647906014916610,Gettysburg
28600400,"Chicago, IL"
1340508181168943111,Brisbane
2984742628,"Galicia, Spain"
1381098562168049666,outer space• black• she/her
343057279,Columbus Ga.
279311811,"Maceió, Brasil"
34522964,"Toronto, Ontario"
274879186,Melbourne
3138425305,"Norman, OK"
43104173,USA
1031737742495965184,"Louisiana, USA"
1459741630240636928,"Natick, MA"
1432572608424275968,Beijing
1447223354159779849,Oceania
1437776883060551683,London
750675490315374592,Scotland.
1388547608935763975,🇺🇸🇺🇸🇺🇸
2309231172,Midwest
904083534381424640,My hut with chicken feet
1265484579718168577,Australia
1668743185,"Washington, USA"
1322207212081762304,Merica 🇺🇸
490126062,"Melbourne, Victoria"
701216063405449216,"Houston, TX"
1043737414554931200,"Whadjuk Country,West Australia"
2849064914,Canada
247232008,Tamaki Makaurau Aotearoa
1312889994995011585,"Cork, Ireland"
1359259626038980608,"Mesa, AZ"
30955003,Texas
624161423,Earth
74700390,United States
49915450,United States
1380903196130902018,Wakanda Barat Laut 
844725901233315841,ประเทศไทย
164458590,The Dark Side Of MinionsLand 
1041335372112789507,"So Cal, USA"
104259664,Manhattan
216330860,Malaysia
2426526207,sw5/6. London. Uk 
1407713601893199874,south korea
1261214060059586562,LiLiLand
190251322,Texas
1353636602912845824,"San Francisco, CA"
994370808,Republic of Texas
1427631265298137095,"Brockton, Mass"
1161024469231644674,"Franklin Square, NY"
165298304,"Earth, PNW"
702655521300451331,"Dallas, TX"
22735859,"San Francisco, CA"
1324754312636125184,"Florida, USA"
772505154843205632,#PlagueIsland
2532562856,reality (subtantially)
768140059497365504,"Minnesota, USA"
588976670,"Viana do Castelo, Portugal"
22156971,Neverland
1606480502,"Arizona, USA"
1375640609927561219,Gotham City
1343597700542038017,"Charleston, SC"
1241938664,Abbotsford BC (Stó:lō Nation)
1321439927444279302,lisa&yixing
1438919145081372673,"Miaoli County, Taiwan"
1318950855912148993,"Warren, NJ"
1407420312543580161,JESUSCHRISTHEART
1908604039,"Florida, USA"
934949955223146497,nj
1408738677400944645,"Poteet, TX"
1099621375214526464,"Sokoto, Nigeria"
1426696932630671365,great lakes 
1225793633342935043,USA
1078741623197048832,stranger in a strange land
532648904,"V in DMV, USA"
299110943,Kingston Ontario
320259242,#UEunitedinvictoria
66913866,"Vancouver, BC"
54330284,ATL
1433277692728811522,"Georgia, USA"
93980966,"London, United Kingdom"
1176886656894304258,"เมืองพัทยา, ประเทศไทย"
1835255983,the great US of A
870863764358176768,"California, USA"
213924054,"Newport News,Va."
1238191614092292097,Germany
4723598516,"Woodbury, MN"
1074905521847713792,"Islamabad, Pakistan"
347421053,"Nashville, TN"
3239329406,"Bay Area, CA "
1369300408871583744,With all the Whos in Whoville
35706932,a minor Galactic Civilisation
42844285,Dharawal Country
449459692,"Jakarta Capital Region, Indone"
124412467,"Auckland, New Zealand"
1223950760,Kildonan-St. Paul Winnipeg MB
1144960637228896258,20↑
2153441286,"Vienna, Austria"
378796893,Haven For The County
205472863,Australia
48338207,Texas
1463655311751979009,Gibraltar
80403579,Look this link now!
85208098,"Ottawa, Ontario"
1029126545380528128,Qc
2438517841,Cincy➡️Athens➡️Detroit➡️Cincy
1114816326822813696, India
581451366,Georgia USA
831927009601343491,"Washington, DC"
409676436,🍄🎸🥃West Of Here ❄🏂🌲
1239593072201207808,"The US Quiet Zone, WV"
985191187337408512,AmmaMamasWomb🌅
4108188865,"Strathmore, Alberta"
958150748000276480,"Los Olivos & San Francisco, CA"
489976887,"Queensland, Australia"
7568942,"Las Vegas, NV"
93804785,Indonesia
2149788721,"Phoenix, AZ"
1288501588877770752,UNITED STATES OF AMERICA
1601317974,Middletown CT
252720596,*the Heart of Europe*
1057984722314424320, Somewhere over the rainbow
3432225592,Hogwarts 
1358880845327708166,UK
1009668884935335936,"Long An, Việt Nam"
720045930746101760,Argentina
1201816463750791168,บนดิน
1312889994995011585,"Cork, Ireland"
31565017,"St. Louis metro area MO, USA"
15824998,United States of America
2185554632,"Philadelphia, PA"
1463425495324712966,BTSh!t and TWANK ender
25098358,United States
22751466,Antarctic
1348480635480887296,"New York, USA"
2739133548,"Louisiana, USA"
3306440520,"Minneapolis, MN"
896796771506171904,"Michigan, USA"
95887243,UK 
1005557387376279552,USA (Dystopia)
1259359547153506307,Melbourne
1038780519192948736,"Georgia, USA"
93998885,"Bubble, St Johns County, FL"
40537229,"New York, NY"
98437661,"New Jersey, USA"
172748155,"Washington, DC"
876248024237953024,#beefsquad #married
944064001079521280,planet VENUS
773422451288117249,United States
137455850,"Westchester County, NY"
426948856,United Kingdom
403902055,"Astoria, OR"
860726805937782785,"Mount Waverley, Melbourne"
75038849,"Oakland, CA"
913410363051220992,"Vancouver, British Columbia"
552342881,"Seattle, WA"
2821502164,sc: eleynici
2693211978,"California, USA"
48338207,Texas
1362352750961455110,exo 
4707323660,limbo baby
56745453,somewhere doing something
3656092573,"San Francisco Bay Area, CA"
17122415,Arizona
449459692,"Jakarta Capital Region, Indone"
248551162,Patna
158189078,"Phoenix, Arizona"
241502713,"Yorkshire, UK"
1671853513,"Texas, USA"
360997546,"Rhode Island, USA"
3169998832,"East Aurora, NY"
338705559,"Boston, MA"
579957358,London
1212375066513559557,Australia
64211837,"Florida, USA"
342433017,Boarding up ma windows
1406987132481196032,North Carolina
61119354,"Fyrestone, Pandora"
99822238,"Springfield, MO"
23865085,Ottawa & Toronto
1101074925199212544,"South Bend, IN"
519681355,"Arlington, VA"
205472863,Australia
4167251667,United States
18487837,"West Palm Beach, FL"
1238191614092292097,Germany
1190608678266626054,BLACKPINK
500886388,hamilton canada
179967451,"Orlando, FL"
717252506,Philadelphia
24077771,"Seoul, SK"
389281501,The sticks 
746717768406413316,Canada
1362654582690648065,"Gujarat, INDIA"
974313309909340160,United States
1166076065351176192,MAINE
1269219380799451137,he/him 
248743932,"Indianapolis,Indiana"
1444257907462213639,"Always was, always will be."
2149115770,"Oxon Hill, MD"
1236098585357320195,BLM • she/her •📍NCIT
536354491,Tennessee
18105561,"London, Ontario"
970039617448792066,United States
87242406,"New York, USA"
1526678851,Massachusetts
1458122437917294600,"Ohio, USA"
1419781178022785038,Gods Country NORTH QUEENSLAND 
1408142352,"Brisbane, Australia"
47926933,BKK
1246418861856919553,LALISA.M
1010009945436110849,India
701785467079909376,"Austin, TX"
18311073,"San Jose, CA"
950412314251071488,"Boston, MA"
61119354,"Fyrestone, Pandora"
4567983076,"Nottingham, England"
380686917,Tiohtià:ke / Montreal 
5952352,New York
889638100682645511,Please water your plants 
26914630,"Oakland, CA"
1353443226,SF Bay Area
1370032099047178242,United States
1385596428173537285,aquí
2891487976,Maybe Texas?
431762931,"Cambridge, MA"
2808093042,"Québec, Canada"
1015070149865627653,Earth
581479317,Mystikals Mental Manifestation
843204980941250560,Internet
2526279629,"Florida, USA"
101098391,"Massachusetts, USA"
543501116,"Miami, Fl."
582110240,Annihilate Cultural Marxism
531520319,"Phoenix, AZ"
1187741392019349504,"Oviedo, FL"
1278782514,#WNY
1413977361654042624,"Long Beach, CA"
18094912,"Albuquerque, NM"
8001252,"ÜT: 42.46045,-83.251328"
56250855,davao city philippines
800671360737419264,"Centurion, South Africa"
389591418,For entertainment purpose only
27528286,"Murrieta, CA"
2955309247,Happy Pride to You!
2456694212,jaipur india
707938453,Texas
1455677573191503875,Canada
625140680,New South Wales
976098246882885634,"Karlsruhe, Germany"
465755468,Various
1153025439675248640,"California, USA"
1239593072201207808,"The US Quiet Zone, WV"
1324926274888888320,"Arizona, USA"
1196150898613006337,"New Hampshire, USA"
981902847150194690,"Ottawa, Ontario"
715121155858767872,"Sydney, New South Wales"
2473871161,"Country Vic & Armidale, NSW"
274261249,North America 
38742189,no minors
1141656504975548416,Bangladesh
1405427833187356674,At Home
2376030350,"Sydney, Australia"
1460322207515688969,Carthage
1031737742495965184,"Louisiana, USA"
4624083987,"Boston, MA"
66681373,SF Bay Area CA USA
1285133037198426113,ʙʟᴀᴄᴋᴘɪɴᴋ I ᴛʀᴇᴀsᴜʀᴇ
1409893399700787200,ARMY & BLINK
4320669373,"Melbourne, Victoria"
1437776883060551683,London
1355397768,"Victor Harbor, Sth Australia"
850653679749222400,A MYSTICAL REALM
824755375484334084,"Rhode Island, USA"
1419781178022785038,Gods Country NORTH QUEENSLAND 
4345726217,United States
487050050,N I
382318059,Resisting fascism.
771578741818482688,"Tamil Nadu, India"
1229461060291264513,Communist State of New Jersey
1330595401125175296,California
964973726,"Newham, London "
15678517,nyc
1128099459353571328,"Boulder, CO"
16272430,Ontario Canada
753278309597847552,🇨🇦 Canada
1421396771066966020,"Kota Surabaya, Jawa Timur"
855574699,Edinburgh Scotland
372930117,Toronto
1372532633083785223,"Hazard, KY"
2593137612,"Tiruchirapalli, India"
2562475801,the wacky factory
1281604716388966400,Australia
2891487976,Maybe Texas?
769025329163857921,"Western KY, USA"
1041864095446618113,Brisbane Australia
1038981561172086784,"Ipswich, MA"
1033845687601905664,nestled in Kylo's ample bosom
248062361,In your occipital lobe . 
2334667175,Nyc
889638100682645511,Please water your plants 
1177739846875582464,Washington 
851051040,"Sydney, Australia"
30488898,Texas
170009203,PAoccupied Delaware-Nanticoke 
1161024469231644674,"Franklin Square, NY"
1032595605737144320,India 🇮🇳
265154042,Ontario
437766171,"Dakar, Senegal"
1064243481848102912,India
1358250622483636224,"Michigan, USA"
1343131488,"Anderson, Indiana"
1089723361142296578,"Alberta, Canada"
546823381,Jakarta♥
889638100682645511,Please water your plants 
713400514034073601,in your area 💛💗💚     
1033832529327939584,Formally USA
25155598,Nanny State Of New York
958737088937041920,"Hanoi, Vietnam"
286224834,Parts Unknown
17143982,"Charlottesville, VA"
3398236516,"lived in the deep South of the USA since early childhood (w/accent to prove it!), but suspect that I am really from "
733159108077981697,Ciudad de México Mi 💕 en Qro
958728033925500930,paisley park
1239593072201207808,"The US Quiet Zone, WV"
861440675677655040,Planet Earth
1441669883893190658,"Manhattan, NY"
867858949567131649,Suomi
374276495,Toledo
263924057,florida
24300719,"Dubai, UAE"
64310107,"Hamilton, New Zealand"
925222941796851712,"Oregon, USA"
40997579,"Scottsdale, AZ"
437080445,"San Mateo, CA"
1171471512085389312,Punamu'kwati'jk
2931129028,United States
734126161,Milwaukee WI
41902299,"Portland, OR"
82418730,Dough Boy Ave
1228428257814601730,Nrw
1306313984,"Las Vegas, NV"
28288262,"Melbourne, Australia"
334108570,Berlin — Rote Insel 
958150748000276480,"Los Olivos & San Francisco, CA"
505690159,"West Midlands, England"
946862394,Toronto
857589911511281664,"Massachusetts, USA"
920977164027039744,"Ghogha Mahal, India"
1010009945436110849,India
799717156589965312,Toronto
278173681,Ohio
1285670291759337472,Sunny South Africa
4088305392,United States
41261777,Canada
967887183616139264,Trinidad and Tobago
1082291009621581830,USA
319275055,Virginia
758971631293214722,"Minnesota, USA"
28082599,"Bengaluru, Karnataka"
1614213860,"Houston, TX"
4347934632,"California, USA"
18105561,"London, Ontario"
26583983,"Christchurch, New Zealand"
49524978,Hyderabad
227772537,"Sechelt, Gibsons, Pender"
1262563608598179840,"North Las Vegas, NV"
821131523021795328,"Kenosha, Wisconsin, USA"
1380319668343164931,Sasquatch country
17138582,"Vancouver, British Columbia"
62440015,Jaipur
2389133500,"Slough, South East"
1124370898209902593,"Aylmer, Ontario"
2251658966,"Washington, D.C. area"
1395314786166919170,LISA
3188110686,"Chandler, AZ"
1437629976363225088,International
570417814,You've been demoted to Kick 
1141656504975548416,Bangladesh
719331975719333890,"Richfield, MN"
25393648,"Atlanta, GA"
16959938,Florida
959983126817755136,"Marion, OH"
1163106082064982017,"Dana Point, California"
1461178907080933376,日本 東京
76014922,South Africa
1225995949518053376,The Other Side of the Planet
23559336,"St Kilda East, Melbourne"
1421396771066966020,"Kota Surabaya, Jawa Timur"
1394574948044218368,"Maharashtra, India"
1014395143284117504,"In a cavern, In a canyon"
1006859665,United States
560817194,"Colorado, USA"
1342107733210714115,"Uttar Pradesh, India"
3219670842,"Los Angeles, CA"
620698212,USA
1443939021525176323,Malaysia
1280684964284182529,þussy 
1405427833187356674,At Home
2422438801,Canada
16496308,"Melbourne, or somewhere nearby"
1401610352920465409,Washington
30779468,Southwest 
1373996165067374599,Cheese Curds 
2891487976,Maybe Texas?
1007711863159705600, Southern California
835339459709153280,TX
1325397284046204928,"Brooklyn, NY"
153248720,Canada
1458998998518284290,"Arizona, USA"
634484811,"Los Angeles, CA"
889638100682645511,Please water your plants 
1221488403457499137,they/them/these hands/24
1436659481182568452,she/they/it/any neos ★
3662331,#Canberra ACT
983658091874054144,"England, United Kingdom"
835020071453900800,Present
741288476453265408,"Virginia, USA"
767775319604465665,Valhalla / banière by mimiclothing on DA
236733813,ᴅᴊ sɴᴀᴋᴇ ᴀɴᴅ ʟɪsᴀ 
1341456302271291395,"Atlanta, GA"
40988576,"-33.899611,151.131907"
1450644124764360706,Jamaica
1390813168302235651,"Seattle, WA"
3369390345,Parler @isingmyheart
1292788115787018241,blackpink house 
19162592,california
853751856551653377,Cape Town
18656586,"Boston, MA"
1081041056479666176,Mandaluyong City 
2727267037,Not Idaho 
17641403,"California, USA"
22229032,Schloss Von Hapsburg
19693266,Dallas 2 Houston
1305604519087177728,Toronto
2593495033,"Pierrefonds, Montreal, Quebec"
1292599834096984064,"California, USA"
953924228306305024,USA
65248048,"Miannay, France"
1260291453973983232,On Gab at ChloroquineGuerilla2
1295803342162210817,"Brooklyn, NY "
141682204,Greater D.C. Area
1214040977309978624," 𝐌𝐞𝐨𝐰
"
1386391997368385537,Earth 
979175695,maryland
31065730,"#NRA life member - Joplin, MO"
24162220,New England
13418072,Seattle • SV • 🌏
291090886,Around the About
1367650286278426624,Central NY
3325227036,Las Vegas/Carson City/China
18400972,"Boston, MA."
4073591,Silicon Valley
289732005,Perth | Sydney | Melbourne
302182991,North Borneo
1348480635480887296,"New York, USA"
1373664574810025992,cleanskyisnotafraidofthunders
889638100682645511,Please water your plants 
1296486626026192900,127.0.0.1
20384872,"Toronto, Canada"
892016099994333185,"Space Coast, Florida"
3105882127,"California, USA"
1460578477132984326,Not your moms basment 
200964745,"Sugar Land, TX"
134609656,Ngambri & Ngunnawal Country
1331951559983443969,BLINK HOME
1368459553,"Chicago, IL"
18078448,The Prison Island of Ireland
1692090457,"Agona Swedru, Ghana"
1247026327129067520,"Buffalo, NY"
14301074,New Zealand
195053575,Bahrain 
1385247811,"Columbus, OH"
490126062,"Melbourne, Victoria"
848822328901353472,"Melbourne, Victoria"
2198626639,a world of my own 🦋
1380711198849695751,United States
19216474,"South Carolina, USA"
26350330,"Chicago, IL"
707983026383413248,Twitter
747868082987741184,#ToryDystopia😱#GTTO#JC4Ever🌹
1437776883060551683,London
3429119674,"Florida, USA"
1338574002197995520,Canada
13526702,Live: Winfield. Work: Kansas.
1422121754474942464,"Melbourne, Victoria"
713609333,RT not an Endorsement
880449290,🇬🇵
15650766,"Rock Island, IL"
15468706,Minneapolis...
763157770027794432,New England
43235064,"Appleton, WI"
601305639,Internet
1323043381816172544,"Melbourne, Victoria"
